STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TEMP,MAX,MIN
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-01,79.700,86.000,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-02,79.880,85.640,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-03,82.400,88.520,76.640
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-04,82.040,89.240,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-05,81.320,88.520,77.000
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-06,80.420,86.000,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-07,79.880,84.560,76.100
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-08,77.900,79.160,76.280
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-09,78.980,83.300,75.920
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-10,77.720,***,75.920
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-11,76.280,***,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-12,78.980,86.720,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-13,78.440,86.000,74.480
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-14,78.080,80.600,75.560
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-15,80.600,86.000,76.460
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-16,75.920,77.540,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-17,77.540,80.780,74.660
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-18,78.620,84.200,74.480
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-19,77.540,***,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-20,80.780,86.360,74.660
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-21,80.420,86.360,76.100
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-22,80.960,***,76.640
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-23,81.140,86.720,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-24,81.140,86.360,75.920
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-25,80.420,86.900,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-26,79.880,86.000,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-27,80.420,86.900,75.020
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-28,78.620,***,***
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.308,123.979,9.400,2017-01-29,80.960,86.900,75.200
